City,Typology,Country,Car_Modeshare,Public_Transit_Modeshare,Bicycle_Modeshare,Walking_Modeshare,Gasoline_Pump_Price,Road_Deaths_Rate,Subway_Length,Subway_Length_Density,Subway_Stations_per_Hundred_Thousand,Subway_Ridership_per_Capita,Subway_Age,BRT_Length,BRT_System_Length_Density,BRT_Stations_per_Hundred_Thousand_Persons,BRT_Fleet_per_Hundred_Thousand_Persons,BRT_Annual_Ridership_per_Capita,BRT_Age,Bikeshare_Stations,Bikeshare_Stations_per_Hundred_Thousand_Persons,Bikeshare_Number_of_Bikes,Bikeshare_Bicycles_per_Hundred_Thousand_Persons,Bikeshare_Age,Congestion,Congestion_AM_Peak,Congestion_PM_Peak,Traffic_Index,Travel_Time_Index,Inefficiency_Index,Population,Land_Area,Population_Density,Population_Change_1990_–_2000,Population_Change_2000_–_2010,Population_Change_2010_–_2020,Population_Change_2020_–_2025,Urbanization_Rate_2015,Urbanization_Rate_Change_2015_–_2025,GDP_per_Capita,Unemployment_Rate,Cost_of_Living_Index,Rent_Index,Grocery_Index,Restaurant_Price_Index,Local_Purchasing_Power_Index,Gini_Coefficient,Poverty_Rate,Life_Expectancy,Safety_Index,Internet_Penetration,Digital_Penetration,Innovation_Index,Smartphone_Penetration,CO2_Emissions_per_Capita,Pollution_Index,Street_length_total,Street_Length_Density,Street_Length_Average,Intersection_Count,Intersection_Density,Degree_Average,Streets_per_Node,Circuity,Self-Loop_Proportion,Highway_Proportion,Metro_Propensity_Factor,BRT_Propensity_Factor,BikeShare_Propensity_Factor,Development_Factor,Sustainability_Factor,Population_Factor,Congestion_Factor,Sprawl_Factor,Network_Density_Factor
Prague,MassTransit Heavyweight,Czech Republic,33.0,43.0,1,23.0,1.53,2.3,65.2,0.218791946,4.420289855,326.1594203,43,10.0,0.033557047,,,3.913043478,,0,0.0,0.0,0.0,0.0,28.0,54.0,46.0,120.68,37.04,96.03,1380000,298,4600,-40021,92786,108503,56209,73.0,0.5,28999.0,3.8,44.15,19.86,36.94,33.09,81.25,,8.6,78.5,69.05,74.1,0.66,46.0,,13.0,38.37,5022813.186,5556191299.0,128.6218838,22841.0,1106.191111,4.815632965,2.762779666,1.066946778,0.003925547,0.0,0.7854367301,0.189474708,0.4387901364,0.5112685909,0.4672578138,0.017661129,0.398725561,0.3045523471,0.3793951918
Kabul,Congested Emerging,Afghanistan,17.7,49.6,0,32.7,0.65,15.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,3650000,259,14100,631001,1088568,1083559,990357,26.7,4.7,617.9,38.0,,,,,,0.29,27.6,60.5,,12.3,,,,0.693183411,104.2,4374731.818,4185927860.0,122.6720828,20705.0,956.8421641,5.23096638,2.688828584,1.043663017,0.000778165,0.0,0.079424504,0.0120674884,0.373602215,0.0295605759,0.2214708641,0.3102680074,0.7072857991,0.2118236355,0.3305749841
Adana,Hybrid Moderate,Turkey,,,,,1.47,11.4,13.9,0.085276074,1.155555556,12.44444444,8,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,27.0,29.0,36.0,,,,1125000,163,6900,216411,299771,439806,189038,73.4,4.3,14117.0,,,,,,,,,75.8,,46.3,0.48,34.0,59.0,4.243452638,,3610912.789,3563740322.0,87.14433799,25560.0,986.9361378,5.64403551,2.978435108,1.053201147,0.000496708,0.007129544,0.1877339809,0.1040854274,0.3612090561,0.3627529203,0.3699737926,0.113786409,0.3606146363,0.250854023,0.4104668272
Ciudad Juarez,BusTransit Sprawl,Mexico,59.0,36.1,,,0.71,21.0,0.0,0.0,0.0,0.0,0,25.0,0.068870523,2.408759124,4.504,12.160966,5.0,0,0.0,0.0,0.0,0.0,,,,,,,1370000,363,3800,416325,107595,159266,126109,79.2,2.6,14506.0,5.9,,,,,,0.46,40.0,76.7,33.35,49.2,0.5,,35.0,2.6,,8367980.041,7751045142.0,109.2183202,43787.0,926.2743344,5.678831819,3.1195267,1.041390123,0.001929408,0.016084042,0.0575507026,0.3432433663,0.4139831737,0.298345507,0.229107178,0.0938996456,0.549812871,0.6468292401,0.4897893512
Novosibirsk,BusTransit Sprawl,Russia,,,,,0.7,18.9,15.9,0.025562701,0.872483221,58.8590604,31,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,35.0,53.0,70.0,,,,1490000,622,2400,-3617,45525,76143,41161,74.0,1.3,11279.6,,31.14,10.33,27.1,27.97,51.73,0.44,,70.5,50.42,61.4,0.5,34.0,45.0,12.46681628,,2425929.401,2491793762.0,210.1281421,6582.0,1027.150156,5.240351088,2.782373452,1.058749945,0.000458884,0.0,0.2400030477,0.1133858315,0.4240061503,0.2817717656,0.27245684,0.0426319472,0.5315126595,0.666205909,0.3771724257
Nanjing,MetroBike Emerging,China,,,39,20.0,1.16,18.8,224.3,0.16814093,1.896551724,112.3354232,12,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,38.0,64.0,67.0,,,,6380000,1334,4800,1483014,1684937,2067299,763099,55.6,9.8,18996.0,2.67,,,,,,0.32,,76.1,,50.1,0.43,39.0,58.0,7.550916485,,19129441.87,1481502553.0,484.0078403,22551.0,77.44619855,5.004452291,3.042488677,1.071681795,0.001579924,0.052632595,0.4869534462,0.0637174543,0.393398842,0.299610481,0.8475179282,0.3849602475,0.5783523706,0.8187504596,0.2287307713
Suzhou,MetroBike Emerging,China,,,,,1.16,18.8,66.14,0.052119779,1.096654275,25.33457249,5,0.0,0.0,0.0,0.0,0.0,0.0,976,18.14126394,22940.0,426.394052,8.0,32.0,54.0,56.0,,,,5380000,1269,4200,1009573,1549915,2017755,566797,55.6,9.8,21988.0,2.12,39.46,14.46,40.11,30.49,74.41,0.32,,76.1,,50.1,0.43,39.0,58.0,7.550916485,78.85,5302841.937,4893510003.0,328.9808261,9281.0,922.8089507,4.956344191,3.155080214,1.051407535,0.002040176,0.028038959,0.2202514403,0.0801560734,0.6669574924,0.3202162197,0.7234906264,0.3380622168,0.4892223489,0.6718114205,0.3958008785
Edmonton,Auto Sprawl,Canada,76.7,11.3,1.1,4.1,0.92,7.9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,20.0,25.0,36.0,142.44,34.93,164.19,1060000,855,1100,93762,196454,204387,102318,81.8,1.8,62832.0,4.8,73.47,29.96,71.58,70.73,115.6,0.44,,82.2,59.84,94.7,0.78,42.0,67.0,44.1,27.38,,,,,,,,,,,0.0463316412,0.1632844593,0.3455042458,0.8055450312,0.4180136985,0.0254809519,0.1038962101,0.7573134986,0.3848836032
Providence(RI),Auto Sprawl,United States,89.2,2.5,0.2,3.4,0.68,4.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,19.0,29.0,42.0,,,,1205000,1412,800,130789,194837,244359,121845,81.6,1.7,43672.0,9.8,83.6,36.59,77.92,85.35,89.55,0.467,28.1,79.9,,75.5,0.78,43.0,72.0,12.8,,1126758.668,13836147501.0,105.9979933,6302.0,12279.60156,5.637007651,3.040946444,1.028550345,0.002010758,0.025967437,0.0005634867,0.1619380702,0.3408468271,0.7385640905,0.311850093,0.0421408375,0.1772847985,0.4885890557,0.7539153163
Port-au-Prince,Congested Emerging,Haiti,,,,,0.92,14.7,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,2700000,267,10100,559197,449990,730863,435848,58.6,8.9,729.3,,,,,,,0.52,40.6,63.5,,10.6,0.15,,,0.23061016,,2957657.191,2461708239.0,125.1759434,13571.0,832.3169589,5.045068583,2.571249728,1.08786769,0.000841533,0.0,0.072471792,0.0761211066,0.3660957558,0.063162508,0.3059553375,0.2466616045,0.6916962064,0.2731250682,0.3012813996
